,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
0,North Carolina,ACC,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30.0,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1.0,2016
1,Villanova,BE,40,35,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30.0,57.4,44.1,36.2,33.9,66.7,8.9,Champions,2.0,2016
2,Notre Dame,ACC,36,24,118.3,103.3,0.8269,54.0,49.5,15.3,14.8,32.7,32.1,32.9,26.0,52.9,46.5,37.4,36.9,65.5,2.3,E8,6.0,2016
3,Virginia,ACC,37,29,119.9,91.0,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,8.6,E8,1.0,2016
4,Kansas,B12,37,32,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,E8,1.0,2016
5,Oregon,P12,37,30,118.4,96.2,0.9163,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32.0,52.6,46.1,34.4,36.2,69.0,6.7,E8,1.0,2016
6,Syracuse,ACC,37,23,111.9,93.6,0.8857,50.0,47.3,18.1,20.4,33.5,35.3,35.4,28.0,47.2,48.1,36.0,30.7,65.5,-0.3,F4,10.0,2016
7,Oklahoma,B12,37,29,118.2,94.1,0.9326,54.3,47.2,18.3,17.7,31.2,30.5,33.0,28.3,48.2,45.3,42.2,33.7,70.8,8.0,F4,2.0,2016
8,Davidson,A10,32,19,113.0,106.0,0.6767,52.0,52.0,14.2,15.8,24.9,30.8,32.3,30.6,51.1,52.2,35.5,34.3,71.3,-2.1,,,2016
9,Duquesne,A10,33,16,108.2,105.1,0.5851,53.9,49.4,18.9,15.6,27.9,28.4,33.6,38.6,53.1,42.8,36.6,40.2,73.6,-7.8,,,2016
10,Fordham,A10,30,16,101.8,100.4,0.5388,51.5,51.4,20.4,22.4,30.4,26.9,33.6,40.5,51.2,52.3,34.6,33.4,67.5,-6.0,,,2016
11,George Mason,A10,32,11,101.4,103.1,0.4507,45.1,48.4,18.6,10.2,33.5,22.8,34.4,30.0,45.7,46.0,29.2,35.3,68.6,-11.6,,,2016
12,George Washington,A10,38,28,114.9,99.1,0.8454,50.8,48.7,16.5,17.5,34.4,27.9,39.1,27.0,48.4,48.2,37.1,33.0,67.2,-0.8,,,2016
13,La Salle,A10,30,8,99.2,105.3,0.3358,47.7,53.3,18.8,19.1,24.9,34.3,30.9,34.9,45.4,51.1,33.6,38.1,67.0,-12.6,,,2016
14,Massachusetts,A10,32,14,102.1,100.7,0.5394,49.1,48.3,17.5,17.1,25.9,30.4,36.5,40.2,48.8,49.0,33.0,31.3,71.6,-8.7,,,2016
15,Rhode Island,A10,32,17,107.6,98.3,0.7403,50.4,47.6,17.5,18.8,30.6,26.3,37.6,39.6,48.3,46.6,36.5,33.3,65.7,-5.9,,,2016
16,Richmond,A10,32,16,112.6,104.0,0.7136,54.7,50.9,14.7,18.2,23.2,31.7,35.2,36.1,55.4,49.4,35.6,36.0,69.2,-5.5,,,2016
17,Saint Louis,A10,32,11,96.4,100.2,0.3913,47.7,50.0,19.5,18.5,20.7,27.9,37.8,39.3,46.9,50.5,32.8,32.8,69.6,-11.6,,,2016
18,St. Bonaventure,A10,31,22,113.2,104.4,0.7173,51.5,49.6,16.5,19.0,31.3,33.4,37.5,37.4,48.8,50.5,37.3,32.1,68.9,-0.1,,,2016
19,Boston College,ACC,32,7,95.0,99.1,0.382,47.5,52.4,20.0,19.5,21.8,28.6,25.9,37.0,46.9,50.0,32.3,38.2,67.8,-12.2,,,2016
20,Clemson,ACC,31,17,112.1,98.0,0.8241,50.6,47.9,15.8,18.0,30.3,30.3,33.3,28.5,49.1,45.5,35.2,34.9,64.5,-2.4,,,2016
21,Florida St.,ACC,34,20,112.2,99.1,0.8069,51.8,50.9,18.0,18.9,32.8,28.3,37.8,36.7,52.1,48.9,34.1,36.2,72.7,0.1,,,2016
22,Georgia Tech,ACC,36,21,113.9,98.2,0.845,49.8,49.1,16.7,14.6,37.5,27.2,31.7,31.7,48.4,49.5,35.7,32.0,67.8,0.0,,,2016
23,Louisville,ACC,31,23,111.5,89.6,0.925,51.9,44.7,17.1,21.6,38.5,29.2,31.8,40.5,51.9,42.8,34.7,32.1,67.2,4.3,,,2016
24,North Carolina St.,ACC,33,16,113.6,102.9,0.7561,48.5,50.6,16.1,15.0,36.3,30.4,38.9,29.7,46.9,47.5,34.8,37.4,68.5,-4.0,,,2016
